# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = noname_2.data.R
# init = 2 (Default)
# random
#   seed = 215976433
# output
#   file = noname_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.904354
# Diagonal elements of inverse mass matrix:
# 0.407397
-7.69459,1,0.904354,2,3,0,7.70994,0.288763
-7.68499,0.983863,0.904354,2,3,0,7.7653,0.292632
-8.2755,0.850307,0.904354,3,7,0,14.4144,0.494631
-8.00197,0.772315,0.904354,1,3,0,9.50943,0.454383
-7.78308,0.942318,0.904354,2,3,0,8.92392,0.408841
-7.65269,0.746407,0.904354,1,3,0,9.11478,0.310424
-7.68964,0.989261,0.904354,1,3,0,7.70075,0.290711
-8.3401,1,0.904354,2,3,0,8.88352,0.188985
-8.12901,0.977386,0.904354,2,3,0,8.13787,0.47447
-7.64297,0.987533,0.904354,1,3,0,8.03416,0.320085
-8.92825,0.753171,0.904354,1,3,0,9.20496,0.563693
-7.65435,0.981848,0.904354,2,3,0,9.06277,0.358094
-7.65578,0.985101,0.904354,1,3,0,7.8746,0.308136
-7.86707,0.983927,0.904354,1,1,0,7.8915,0.428776
-7.64009,0.998675,0.904354,2,3,0,7.95881,0.341793
-9.27786,1,0.904354,1,1,0,9.89058,0.129867
-8.35451,0.934866,0.904354,1,1,0,8.35535,0.187718
-7.66511,0.999506,0.904354,2,7,0,7.83806,0.365387
-7.65993,1,0.904354,1,1,0,7.67078,0.305369
-8.92441,1,0.904354,1,1,0,9.63425,0.147949
-8.73054,1,0.904354,1,1,0,9.06985,0.545293
-7.9814,0.824404,0.904354,1,3,0,10.9307,0.228335
-7.78076,1,0.904354,2,3,0,7.93016,0.40822
-8.06783,0.990955,0.904354,2,3,0,8.12088,0.465166
-8.17614,0.817154,0.904354,1,3,0,9.01537,0.204804
-8.47543,0.83764,0.904354,2,3,0,9.07389,0.518655
-7.75313,1,0.904354,2,3,0,9.37929,0.270492
-7.7341,1,0.904354,1,1,0,7.78661,0.394485
-8.00283,0.953115,0.904354,2,3,0,8.13152,0.225393
-7.65112,0.998855,0.904354,2,7,0,7.65136,0.311681
-7.64404,0.994895,0.904354,1,3,0,7.96647,0.318698
-10.3866,0.830289,0.904354,1,1,0,10.6836,0.665321
-8.33224,1,0.904354,2,3,0,9.36784,0.5018
-9.91322,0.677552,0.904354,1,1,0,9.9172,0.637156
-8.40768,1,0.904354,1,1,0,9.13599,0.510883
-9.77007,0.807812,0.904354,1,1,0,9.91111,0.627889
-8.03395,0.907645,0.904354,2,3,0,8.83045,0.45973
-7.63846,1,0.904354,2,3,0,8.03919,0.330068
-8.12265,0.917054,0.904354,2,3,0,8.45134,0.47353
-7.65636,0.977501,0.904354,1,3,0,8.09951,0.307732
-8.0122,0.856391,0.904354,2,3,0,9.60059,0.456118
-7.65857,1,0.904354,1,1,0,7.67385,0.306246
-9.01594,0.824237,0.904354,2,7,0,9.01641,0.142906
-8.2647,1,0.904354,2,7,0,8.26537,0.195915
-8.67508,0.981678,0.904354,2,3,0,8.82443,0.53981
-9.78424,0.729139,0.904354,2,7,0,9.78431,0.109169
-8.62143,1,0.904354,1,1,0,9.07993,0.166958
-8.05412,0.972659,0.904354,2,3,0,8.6167,0.218758
-7.6721,1,0.904354,2,3,0,8.14775,0.298561
-7.71108,0.577143,0.904354,2,3,0,11.4308,0.282863
-7.84865,0.928265,0.904354,2,7,0,8.14688,0.249623
-7.88494,0.974156,0.904354,2,7,0,7.88769,0.243164
-9.54482,0.98688,0.904354,2,3,0,12.2188,0.118322
-7.63969,0.998356,0.904354,1,3,0,7.7508,0.325855
-7.64625,0.997911,0.904354,1,3,0,8.00995,0.350778
-8.33842,0.864037,0.904354,1,3,0,8.44857,0.502562
-8.02568,0.916518,0.904354,2,3,0,8.44584,0.458369
-11.7431,1,0.904354,1,1,0,12.4795,0.0600955
-11.5293,0.980293,0.904354,2,7,0,11.6528,0.721367
-8.30507,1,0.904354,1,1,0,8.80651,0.498405
-7.64931,0.997499,0.904354,1,3,0,8.25787,0.353842
-8.30635,0.84332,0.904354,1,3,0,8.81712,0.498566
-8.039,0.955511,0.904354,1,3,0,10.035,0.220659
-7.72058,1,0.904354,2,3,0,7.78292,0.389922
-7.74758,1,0.904354,2,3,0,7.93016,0.398732
-7.72074,1,0.904354,1,1,0,7.75387,0.389977
-8.25751,0.782806,0.904354,1,3,0,9.21176,0.196604
-7.68507,0.997293,0.904354,1,3,0,7.87265,0.2926
-7.83712,1,0.904354,1,1,0,7.93572,0.422153
-8.01579,0.904033,0.904354,1,3,0,8.20767,0.223665
-7.64469,0.985459,0.904354,1,3,0,8.06754,0.31792
-7.64047,0.988362,0.904354,1,3,0,8.41006,0.324155
-7.63892,1,0.904354,2,3,0,7.63909,0.3386
-7.63945,0.999771,0.904354,2,3,0,7.64102,0.34025
-7.88576,1,0.904354,1,1,0,8.02833,0.432695
-7.83474,1,0.904354,1,1,0,7.93364,0.421607
-8.06751,0.900938,0.904354,2,3,0,9.34385,0.465116
-8.153,0.947746,0.904354,1,1,0,8.39546,0.47796
-7.74807,0.954256,0.904354,1,3,0,8.56579,0.398883
-7.81601,0.9792,0.904354,1,1,0,7.81641,0.256004
-7.65562,0.995404,0.904354,1,3,0,7.68937,0.359059
-7.86597,0.987984,0.904354,2,3,0,7.86653,0.428541
-7.9344,1,0.904354,1,1,0,8.22801,0.442274
-8.0731,0.860201,0.904354,2,7,0,9.40354,0.465991
-8.24383,1,0.904354,1,1,0,8.91978,0.490487
-8.48486,0.777108,0.904354,1,3,0,9.03504,0.176996
-7.72248,0.964463,0.904354,1,3,0,8.02275,0.279192
-9.00964,0.976953,0.904354,2,3,0,9.03423,0.143244
-8.69182,1,0.904354,2,3,0,9.07378,0.162179
-8.105,0.87769,0.904354,1,3,0,9.34572,0.470891
-7.70846,0.947471,0.904354,1,3,0,8.43745,0.283747
-9.89315,0.697149,0.904354,2,3,0,9.8941,0.105326
-9.31779,0.996199,0.904354,2,3,0,9.52199,0.128038
-7.64407,0.999964,0.904354,2,7,0,7.65647,0.348227
-7.98468,0.923992,0.904354,1,3,0,8.07739,0.451397
-7.94843,1,0.904354,2,3,0,8.15001,0.444892
-8.31577,0.739039,0.904354,2,7,0,9.76128,0.191164
-8.00401,0.901306,0.904354,1,3,0,10.0491,0.454731
-8.00633,0.987319,0.904354,2,3,0,8.02799,0.455125
-7.88925,0.901635,0.904354,1,1,0,8.21044,0.433412
-8.04905,1,0.904354,1,1,0,8.29434,0.46218
-8.19202,1,0.904354,1,1,0,8.40502,0.483468
-7.80183,1,0.904354,1,1,0,8.10225,0.413696
-8.1462,0.918914,0.904354,1,1,0,8.14761,0.476979
-9.08386,0.97368,0.904354,1,1,0,9.38683,0.577095
-7.94242,0.900759,0.904354,2,3,0,9.01632,0.443778
-8.57175,0.951693,0.904354,2,3,0,8.57534,0.52916
-7.69314,1,0.904354,2,3,0,7.70588,0.289326
-7.6386,0.68231,0.904354,1,3,0,9.42237,0.329361
-7.88555,1,0.904354,2,3,0,7.97985,0.432652
-9.11046,0.792993,0.904354,1,1,0,9.12492,0.579303
-9.79154,1,0.904354,2,3,0,10.4697,0.629304
-7.88937,0.858149,0.904354,1,3,0,9.90194,0.242415
-8.00661,0.837376,0.904354,2,3,0,9.76656,0.455173
-7.64833,0.998533,0.904354,1,3,0,7.96395,0.35291
-7.64806,1,0.904354,2,3,0,7.65446,0.314381
-7.64597,0.997449,0.904354,1,3,0,7.67074,0.350468
-8.1659,0.876081,0.904354,2,3,0,8.50894,0.205892
-7.80235,0.921975,0.904354,1,3,0,9.44065,0.413828
-7.95993,0.901523,0.904354,1,3,0,9.13755,0.446993
-7.64313,0.98879,0.904354,1,3,0,7.95813,0.319873
-7.63947,0.965742,0.904354,2,3,0,7.97699,0.340284
-7.63977,0.998818,0.904354,2,3,0,7.64663,0.325664
-7.69162,0.99909,0.904354,2,7,0,7.93654,0.378718
-7.84846,0.930259,0.904354,1,3,0,8.13656,0.249659
-8.23498,0.78619,0.904354,1,1,0,8.98157,0.489311
-7.74287,0.962639,0.904354,2,3,0,7.9144,0.273247
-7.6424,0.99944,0.904354,1,3,0,7.68747,0.320893
-8.41485,0.949424,0.904354,1,1,0,8.51007,0.511721
-8.49283,0.922907,0.904354,1,1,0,8.56177,0.520597
-8.5198,0.575456,0.904354,1,1,0,10.2535,0.523569
-7.86504,0.927628,0.904354,1,3,0,8.69631,0.42834
-7.67715,0.981057,0.904354,2,3,0,7.86763,0.296115
-7.67323,0.812246,0.904354,2,3,0,9.17237,0.369968
-8.4831,0.704437,0.904354,2,3,0,9.94968,0.177133
-8.19203,0.852688,0.904354,2,7,0,10.443,0.483469
-8.03258,1,0.904354,1,1,0,8.51283,0.459505
-9.00343,1,0.904354,2,3,0,10.053,0.570276
-8.89498,0.915624,0.904354,2,7,0,8.895,0.560711
-8.99734,0.749915,0.904354,1,3,0,10.6857,0.56975
-9.24792,1,0.904354,1,1,0,9.7391,0.590361
-8.07527,0.989839,0.904354,1,1,0,8.12972,0.21617
-7.88982,0.976233,0.904354,2,3,0,7.89684,0.433529
-7.7714,0.953895,0.904354,1,3,0,8.04964,0.265906
-7.74332,0.953518,0.904354,2,3,0,8.20091,0.273122
-7.85985,0.851817,0.904354,2,3,0,10.2176,0.247565
-7.67447,0.840061,0.904354,1,3,0,8.62162,0.297392
-9.30383,0.64076,0.904354,2,3,0,10.3291,0.128673
-7.6394,1,0.904354,2,3,0,7.75262,0.326609
-7.74605,0.961801,0.904354,2,3,0,8.08102,0.398263
-7.67138,0.967224,0.904354,2,3,0,7.95083,0.298922
-7.64703,0.998079,0.904354,1,3,0,7.77644,0.315386
-7.63965,0.997429,0.904354,1,3,0,7.81162,0.325954
-8.27452,0.914722,0.904354,2,3,0,8.28756,0.194982
-7.99263,1,0.904354,2,3,0,8.08894,0.22678
-7.9107,0.931363,0.904354,1,3,0,8.07617,0.437711
-7.68312,0.990422,0.904354,1,3,0,7.69231,0.374892
-7.65503,0.994738,0.904354,1,3,0,7.67447,0.308671
-7.66026,1,0.904354,1,1,0,7.66867,0.362319
-8.27248,0.916473,0.904354,2,3,0,8.27835,0.195175
-8.76536,1,0.904354,2,3,0,9.00925,0.157438
-7.63822,1,0.904354,2,3,0,8.06263,0.334714
-8.34818,0.853684,0.904354,1,3,0,8.51362,0.503759
-7.63842,0.998088,0.904354,1,3,0,7.77982,0.336384
-7.64842,0.999088,0.904354,1,1,0,7.6489,0.314048
-9.42608,0.761677,0.904354,1,3,0,9.77475,0.123265
-9.10574,1,0.904354,1,1,0,9.54067,0.138217
-7.67087,0.909651,0.904354,2,3,0,8.35097,0.368692
-7.74311,0.86574,0.904354,2,3,0,9.53128,0.27318
-7.88117,0.944966,0.904354,1,3,0,7.95406,0.431747
-7.6776,1,0.904354,1,3,0,8.13057,0.372219
-8.95302,0.752422,0.904354,1,3,0,9.38266,0.146343
-8.13654,1,0.904354,1,1,0,8.52784,0.209089
-7.64181,0.93143,0.904354,2,3,0,8.86205,0.345004
-8.85867,0.83579,0.904354,1,1,0,8.8807,0.557406
-7.6665,0.974892,0.904354,1,3,0,9.01778,0.301502
-7.6649,0.997198,0.904354,2,3,0,7.95536,0.302397
-7.63968,1,0.904354,2,3,0,7.68799,0.340844
-9.36432,0.774395,0.904354,2,3,0,9.80999,0.125955
-7.79753,0.985799,0.904354,1,3,0,8.47956,0.259913
-7.76907,0.9326,0.904354,1,3,0,9.30738,0.405012
-8.63868,0.907294,0.904354,2,3,0,9.01862,0.165763
-7.94986,1,0.904354,3,7,0,13.9516,0.232874
-7.63943,0.999464,0.904354,2,3,0,7.91734,0.340174
-8.92974,0.690474,0.904354,1,3,0,9.67386,0.147648
-9.1964,1,0.904354,1,1,0,9.72866,0.13372
-7.67226,0.957678,0.904354,1,3,0,9.52581,0.298476
-7.74353,0.981391,0.904354,2,3,0,7.80102,0.397485
-8.05378,0.899795,0.904354,1,3,0,8.78647,0.462938
-8.03992,1,0.904354,1,1,0,8.45146,0.460703
-12.1341,0.489818,0.904354,1,1,0,12.1363,0.745946
-8.14029,0.967379,0.904354,1,1,0,8.20119,0.476121
-7.79059,0.937776,0.904354,2,7,0,8.18954,0.261448
-7.85138,0.954037,0.904354,1,3,0,8.3494,0.425362
-8.00792,0.87569,0.904354,1,3,0,8.54248,0.22471
-9.33606,1,0.904354,2,3,0,9.75036,0.127214
-9.05394,1,0.904354,2,3,0,9.84962,0.140892
-7.70749,1,0.904354,2,7,0,11.0914,0.385144
-7.64349,1,0.904354,1,1,0,7.64541,0.347463
-7.6482,0.998486,0.904354,2,3,0,7.65109,0.314257
-7.66938,0.99537,0.904354,2,3,0,7.70633,0.299955
-7.67046,0.970585,0.904354,2,3,0,7.92614,0.299394
-7.64224,0.994644,0.904354,1,3,0,8.4287,0.345684
-7.64268,1,0.904354,1,1,0,7.64834,0.346334
-7.97274,0.964434,0.904354,1,1,0,7.97352,0.229555
-8.01222,0.959745,0.904354,1,1,0,8.01262,0.224138
-8.25326,0.786224,0.904354,2,7,0,9.22112,0.197015
-7.71838,0.997216,0.904354,2,3,0,7.72222,0.389147
-7.75783,0.94652,0.904354,1,3,0,8.22859,0.269276
-8.40923,0.773995,0.904354,1,3,0,9.09097,0.183065
-7.66938,1,0.904354,2,3,0,8.94227,0.299955
-9.09991,0.730388,0.904354,2,3,0,10.1435,0.578431
-9.05447,1,0.904354,1,1,0,9.7157,0.574629
-7.74181,0.98947,0.904354,2,3,0,8.11726,0.273538
-7.63819,0.994577,0.904354,1,3,0,8.00605,0.332467
-7.64259,0.85468,0.904354,1,3,0,8.33974,0.346211
-7.75312,0.983409,0.904354,1,1,0,7.75406,0.400405
-7.77756,0.987172,0.904354,1,1,0,7.78099,0.264436
-7.64536,0.997636,0.904354,1,3,0,7.66009,0.317149
-7.64353,0.974911,0.904354,2,3,0,7.82069,0.319352
-8.56202,0.992446,0.904354,2,3,0,8.64872,0.171191
-8.70252,0.953633,0.904354,1,1,0,8.74706,0.161474
-7.69238,0.974902,0.904354,1,3,0,7.9266,0.289621
-8.35017,0.835166,0.904354,1,3,0,8.84346,0.504002
-7.75317,1,0.904354,1,1,0,7.80169,0.270481
-8.36319,0.889983,0.904354,1,3,0,8.46539,0.186965
-8.09252,0.887258,0.904354,1,3,0,9.04423,0.468995
-7.65577,0.985178,0.904354,1,3,0,7.87278,0.308142
-7.65124,0.999997,0.904354,2,7,0,7.67346,0.311581
-7.65062,0.990228,0.904354,1,3,0,7.83306,0.355029
-7.63882,0.998436,0.904354,1,3,0,7.76549,0.338236
-9.43668,0.994507,0.904354,1,1,0,9.67759,0.122812
-8.04584,0.826757,0.904354,1,3,0,9.1488,0.219793
-7.67406,1,0.904354,1,1,0,7.70502,0.370405
-8.24733,0.876117,0.904354,2,3,0,8.75327,0.49095
-7.74326,0.975674,0.904354,1,3,0,7.77579,0.3974
-7.79261,1,0.904354,1,1,0,7.84691,0.411345
-7.78715,0.984398,0.904354,2,3,0,7.97991,0.262223
-7.65344,0.997282,0.904354,2,3,0,7.7417,0.309852
-7.79885,0.935116,0.904354,1,3,0,9.15439,0.412943
-7.63853,0.995535,0.904354,1,3,0,7.94885,0.329706
-8.8439,0.7966,0.904354,2,3,0,9.42622,0.556047
-10.0194,0.738416,0.904354,2,3,0,10.1464,0.101096
-9.94372,1,0.904354,1,1,0,11.0399,0.103603
-7.85738,0.895433,0.904354,1,3,0,10.4079,0.426682
-8.82127,0.852643,0.904354,1,3,0,8.96337,0.15399
-7.77184,0.945087,0.904354,2,3,0,8.26303,0.405785
-7.68384,0.972923,0.904354,1,3,0,9.07495,0.293122
-8.9209,0.965226,0.904354,1,1,0,9.16781,0.563038
-9.63292,0.931487,0.904354,1,1,0,9.68325,0.114834
-9.64184,0.814762,0.904354,2,3,0,9.88412,0.114489
-9.37521,1,0.904354,1,1,0,10.0153,0.600119
-7.87422,0.869299,0.904354,1,3,0,9.51085,0.245011
-7.96551,0.965554,0.904354,1,1,0,7.98368,0.448
-7.72669,0.65777,0.904354,2,3,0,10.507,0.277905
-7.70432,0.98976,0.904354,1,3,0,7.70888,0.285185
