# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 4
# data
#   file = noname_4.data.R
# init = 2 (Default)
# random
#   seed = 215976437
# output
#   file = noname_samples_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.986797
# Diagonal elements of inverse mass matrix:
# 0.448049
-9.15478,0.997489,0.986797,1,1,0,9.64009,0.582931
-11.148,0.83524,0.986797,2,3,0,11.368,0.704229
-9.88503,0.802053,0.986797,1,1,0,9.8858,0.105606
-9.34603,0.643145,0.986797,1,3,0,9.43134,0.59792
-8.12674,1,0.986797,1,1,0,8.41333,0.474136
-7.75156,0.942612,0.986797,2,3,0,8.11769,0.399938
-7.6714,1,0.986797,1,1,0,7.71834,0.368986
-8.29949,0.85611,0.986797,2,3,0,8.62953,0.497699
-7.89927,1,0.986797,1,1,0,8.20651,0.435442
-7.67179,0.991451,0.986797,1,3,0,7.69549,0.369197
-8.01959,0.975441,0.986797,2,3,0,8.03067,0.457357
-7.68676,0.99911,0.986797,2,3,0,8.48414,0.291891
-7.64241,0.984535,0.986797,2,3,0,7.73674,0.320884
-7.65826,1,0.986797,2,3,0,7.68681,0.36096
-7.81824,0.976942,0.986797,1,1,0,7.8276,0.255547
-7.66557,0.995837,0.986797,1,1,0,7.66694,0.302019
-7.64707,0.632122,0.986797,1,3,0,9.23042,0.351651
-7.97605,0.863707,0.986797,2,3,0,8.37831,0.449881
-7.74161,0.985234,0.986797,1,3,0,9.16917,0.273594
-7.66246,1,0.986797,2,3,0,9.73682,0.363749
-8.6487,0.848295,0.986797,1,1,0,8.74641,0.537147
-8.12476,1,0.986797,2,3,0,8.75698,0.210406
-7.64041,0.889967,0.986797,2,3,0,9.0064,0.342483
-8.5978,0.920216,0.986797,1,1,0,8.78549,0.531901
-7.74026,0.846963,0.986797,2,3,0,9.14003,0.396458
-7.65451,0.990964,0.986797,2,3,0,7.7693,0.309049
-8.23047,0.968373,0.986797,2,3,0,8.23176,0.488707
-8.69638,0.846283,0.986797,2,3,0,8.73638,0.161878
-7.63936,0.954873,0.986797,1,3,0,9.0357,0.339995
-7.8315,0.720603,0.986797,2,3,0,9.16894,0.252899
-7.64421,0.948385,0.986797,2,3,0,8.20752,0.348402
-8.01844,0.998091,0.986797,1,1,0,8.10932,0.223316
-8.77693,0.993262,0.986797,2,3,0,8.96634,0.156714
-11.4844,0.78764,0.986797,1,1,0,11.4844,0.0647506
-8.78185,0.960068,0.986797,1,1,0,8.92359,0.156407
-7.74655,0.989857,0.986797,2,3,0,7.74913,0.27224
-7.64233,0.995704,0.986797,1,3,0,7.74046,0.345827
-7.72795,0.973986,0.986797,1,3,0,8.15879,0.277528
-7.64322,0.988864,0.986797,1,3,0,7.95097,0.347094
-7.63843,0.984147,0.986797,1,3,0,8.27424,0.336442
-7.65104,0.99,0.986797,1,3,0,7.83175,0.35539
-7.78473,1,0.986797,1,1,0,7.92561,0.262774
-7.64369,0.994324,0.986797,2,3,0,7.74106,0.319143
-8.3066,0.985794,0.986797,1,1,0,8.4299,0.191999
-7.86303,1,0.986797,2,3,0,7.95238,0.246992
-7.6773,0.982164,0.986797,2,3,0,8.00621,0.296046
-7.70886,0.97432,0.986797,2,3,0,7.7809,0.385665
-7.71991,0.996573,0.986797,1,1,0,7.73945,0.389687
-7.94833,0.985804,0.986797,1,1,0,8.02435,0.444873
-7.67892,0.904039,0.986797,2,3,0,8.43511,0.372875
-7.69509,0.966205,0.986797,2,3,0,7.82557,0.380196
-7.64054,1,0.986797,1,3,0,7.76543,0.342752
-7.64897,0.994975,0.986797,2,3,0,7.6673,0.353523
-8.08945,0.925682,0.986797,1,3,0,8.69429,0.468524
-7.74226,1,0.986797,2,3,0,7.81677,0.397088
-8.05105,0.915582,0.986797,2,3,0,8.35086,0.21914
-8.00129,0.989053,0.986797,1,1,0,8.06952,0.225601
-7.64482,0.896279,0.986797,2,3,0,9.07247,0.34915
-8.11107,0.874108,0.986797,1,3,0,8.25916,0.211961
-7.75088,0.970782,0.986797,1,3,0,7.77135,0.271084
-7.64724,0.998438,0.986797,1,1,0,7.64768,0.351824
-7.67906,1,0.986797,2,3,0,7.74889,0.295234
-7.68497,0.840063,0.986797,2,3,0,8.87323,0.292641
-8.14251,0.956038,0.986797,1,1,0,8.17954,0.20843
-7.96923,0.853438,0.986797,2,3,0,8.42435,0.448668
-7.66659,1,0.986797,1,3,0,9.16054,0.301454
-8.4286,0.834475,0.986797,1,1,0,8.44941,0.513318
-7.64362,0.998119,0.986797,1,3,0,7.95768,0.319233
-7.91947,0.881936,0.986797,2,3,0,10.0109,0.439421
-7.73929,0.913704,0.986797,2,3,0,8.30184,0.396151
-7.65127,0.991956,0.986797,2,3,0,7.75782,0.311561
-7.7291,0.99339,0.986797,2,3,0,7.7311,0.392834
-7.64227,0.861669,0.986797,2,3,0,8.37848,0.321091
-7.6472,1,0.986797,1,3,0,7.80646,0.315221
-8.16305,0.869071,0.986797,1,3,0,8.32447,0.479397
-7.63942,1,0.986797,1,3,0,8.04449,0.326545
-9.23374,0.639406,0.986797,1,1,0,9.23394,0.589247
-7.63831,0.999816,0.986797,1,3,0,7.64933,0.331043
-7.63817,0.781214,0.986797,2,3,0,9.27032,0.332934
-8.39232,0.673979,0.986797,2,3,0,9.46631,0.509071
-8.02433,0.980775,0.986797,2,3,0,8.0293,0.222546
-8.49048,0.952957,0.986797,2,3,0,8.50141,0.520336
-8.35639,0.976325,0.986797,2,3,0,8.38553,0.187555
-11.2177,0.67551,0.986797,1,1,0,11.6954,0.70747
-8.01307,1,0.986797,2,3,0,8.58493,0.224025
-7.67504,1,0.986797,1,1,0,7.74616,0.297117
-9.78753,0.819159,0.986797,1,3,0,9.79928,0.10905
-8.15113,0.978362,0.986797,1,3,0,9.02241,0.207486
-9.02485,1,0.986797,2,3,0,11.1956,0.142429
-9.51386,0.861865,0.986797,1,1,0,9.54517,0.119583
-7.94711,0.912315,0.986797,1,3,0,8.10938,0.233284
-10.4643,0.552048,0.986797,1,3,0,10.8784,0.087844
-8.186,0.937036,0.986797,1,1,0,8.2043,0.203769
-7.69259,0.965816,0.986797,2,3,0,7.87596,0.379136
-7.9409,0.939609,0.986797,2,3,0,8.04359,0.234214
-7.65974,1,0.986797,1,1,0,7.67349,0.361972
-11.5909,0.356286,0.986797,1,3,0,11.9221,0.72401
-9.94392,1,0.986797,1,1,0,11.0318,0.639094
-8.97148,0.717037,0.986797,1,1,0,8.9884,0.567503
-7.93894,0.947248,0.986797,2,3,0,8.76977,0.443127
-7.72213,1,0.986797,2,3,0,7.88673,0.279301
-7.8234,1,0.986797,1,1,0,7.90555,0.254505
-7.63832,0.99373,0.986797,2,3,0,7.67594,0.330978
-7.97113,0.915184,0.986797,1,3,0,8.01528,0.449007
-9.0222,0.737591,0.986797,1,1,0,9.07195,0.571887
-8.13466,0.956275,0.986797,2,3,0,9.61636,0.209298
-8.44291,0.879076,0.986797,2,3,0,8.49422,0.180313
-7.64597,0.991969,0.986797,1,3,0,8.46592,0.316481
-7.6945,0.984614,0.986797,2,3,0,8.02913,0.288799
-9.80748,0.577296,0.986797,1,1,0,9.82695,0.630348
-8.15853,0.827755,0.986797,1,3,0,9.34469,0.206683
-7.6434,0.987838,0.986797,1,3,0,7.97989,0.347347
-7.82425,0.953457,0.986797,1,1,0,7.82442,0.419161
-7.66393,1,0.986797,1,1,0,7.68923,0.302951
-8.12795,1,0.986797,1,1,0,8.44794,0.210047
-7.64769,1,0.986797,1,3,0,8.05377,0.314741
-7.64969,0.998733,0.986797,1,1,0,7.65094,0.312899
-7.67025,0.971032,0.986797,2,3,0,7.81522,0.368355
-9.35302,0.66633,0.986797,1,3,0,10.1919,0.598449
-9.08316,0.838754,0.986797,2,3,0,9.38782,0.577037
-7.67521,1,0.986797,1,3,0,7.95718,0.371005
-8.36165,0.963338,0.986797,2,3,0,8.36204,0.187098
-7.76798,0.922327,0.986797,1,3,0,9.15152,0.404707
-8.18242,0.584418,0.986797,1,1,0,9.34071,0.48213
-8.11939,1,0.986797,2,3,0,8.63042,0.473047
-7.74306,0.979428,0.986797,1,3,0,7.86373,0.397337
-7.64421,1,0.986797,1,3,0,7.68895,0.318487
-7.82858,1,0.986797,2,3,0,8.7179,0.420177
-8.1817,0.876317,0.986797,1,3,0,8.50659,0.482031
-8.26414,0.79004,0.986797,1,3,0,9.27346,0.195968
-7.78228,0.871752,0.986797,2,3,0,8.90334,0.408627
-8.90381,0.74857,0.986797,1,1,0,8.93955,0.561507
-7.88989,1,0.986797,2,3,0,8.06993,0.433543
-7.66195,0.99057,0.986797,1,3,0,7.86175,0.304126
-8.43389,0.859272,0.986797,1,3,0,13.0317,0.181042
-7.95104,1,0.986797,1,1,0,8.38735,0.445371
-7.69483,1,0.986797,1,1,0,7.92519,0.380086
-7.68313,1,0.986797,1,1,0,7.78311,0.293428
-7.63818,0.940171,0.986797,2,3,0,7.94507,0.332672
-7.64091,0.999445,0.986797,1,3,0,7.64093,0.343458
-7.68499,0.975998,0.986797,2,3,0,7.95626,0.375764
-7.99979,0.987096,0.986797,1,1,0,8.06383,0.225805
-7.72214,1,0.986797,2,3,0,7.75092,0.390465
-8.31866,0.972844,0.986797,2,3,0,8.41545,0.500112
-7.64786,1,0.986797,1,3,0,7.80187,0.314578
-8.37789,0.88182,0.986797,2,3,0,8.96063,0.185701
-9.42447,0.909795,0.986797,2,3,0,9.49667,0.60378
-7.92328,0.940459,0.986797,2,3,0,8.51463,0.440156
-7.81311,0.984171,0.986797,2,3,0,7.81615,0.256602
-7.84886,0.991493,0.986797,2,3,0,7.86079,0.249584
-8.43572,0.599891,0.986797,2,3,0,10.0118,0.51414
-7.89742,0.952003,0.986797,1,3,0,8.18701,0.435069
-8.2576,0.97294,0.986797,1,1,0,8.41494,0.492302
-8.38816,0.659765,0.986797,2,3,0,9.5549,0.508578
-8.56115,0.671309,0.986797,1,3,0,10.2707,0.171255
-8.71042,0.889974,0.986797,1,1,0,8.72885,0.160957
-7.77627,0.982386,0.986797,2,3,0,9.27018,0.264742
-8.56019,0.795186,0.986797,1,3,0,9.00627,0.52793
-7.65972,1,0.986797,2,3,0,7.75751,0.305506
-8.55914,0.683055,0.986797,2,3,0,9.47876,0.527818
-10.1514,0.603345,0.986797,1,1,0,10.2674,0.651771
-8.86499,0.776637,0.986797,1,3,0,9.80962,0.557986
-7.6472,0.995688,0.986797,1,3,0,7.9227,0.315215
-7.66281,0.993513,0.986797,1,3,0,7.67766,0.363971
-7.8,0.919298,0.986797,2,3,0,8.06765,0.413233
-7.74156,0.995805,0.986797,1,1,0,7.76183,0.273609
-8.36783,0.86875,0.986797,2,3,0,8.65274,0.186564
-7.71151,0.998807,0.986797,1,3,0,9.29273,0.282719
-7.83857,0.960779,0.986797,2,3,0,8.40503,0.251529
-7.67901,1,0.986797,2,3,0,8.25748,0.372918
-9.39113,0.851586,0.986797,2,3,0,9.63716,0.601309
-11.3793,0.598241,0.986797,1,1,0,11.7384,0.714791
-7.86022,1,0.986797,2,3,0,8.41715,0.4273
-7.64258,0.999068,0.986797,1,1,0,7.64263,0.346193
-7.6644,0.829117,0.986797,2,3,0,8.55063,0.302681
-8.45622,1,0.986797,2,3,0,9.06067,0.179248
-7.67636,0.980232,0.986797,1,3,0,7.95427,0.371591
-7.64212,1,0.986797,1,3,0,7.92993,0.345493
