# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = noname_1.data.R
# init = 2 (Default)
# random
#   seed = 215976432
# output
#   file = noname_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.899371
# Diagonal elements of inverse mass matrix:
# 0.399803
-8.98205,0.742993,0.899371,1,3,0,10.5298,0.568425
-8.5312,0.89252,0.899371,2,3,0,8.62321,0.173467
-8.22743,1,0.899371,1,1,0,8.74632,0.199548
-8.06268,1,0.899371,1,1,0,8.16473,0.217701
-7.90572,0.967239,0.899371,1,1,0,7.91226,0.436729
-7.74849,1,0.899371,1,1,0,7.77614,0.39901
-8.63132,0.939652,0.899371,1,1,0,8.64381,0.166271
-8.01521,1,0.899371,1,1,0,8.36786,0.456623
-7.68033,0.984593,0.899371,1,3,0,7.86121,0.373561
-8.34679,0.936308,0.899371,2,3,0,8.37175,0.50359
-11.3591,0.831975,0.899371,2,3,0,11.3594,0.713889
-9.51414,0.966329,0.899371,2,3,0,9.75102,0.610293
-13.6876,0.825238,0.899371,2,3,0,13.7077,0.797686
-7.84373,0.861567,0.899371,2,3,0,9.08538,0.423654
-7.96775,0.930049,0.899371,1,1,0,8.34046,0.230268
-7.80088,1,0.899371,2,3,0,8.00008,0.413458
-9.36181,0.892429,0.899371,1,1,0,9.36182,0.126066
-9.89585,0.982647,0.899371,2,3,0,9.98373,0.105233
-10.2722,0.914066,0.899371,2,7,0,10.8157,0.658832
-7.77193,0.898177,0.899371,1,3,0,9.60012,0.265777
-7.64942,0.996077,0.899371,1,3,0,7.68822,0.313138
-7.69014,0.979334,0.899371,2,7,0,7.8397,0.378074
-7.68363,0.982913,0.899371,2,3,0,9.33329,0.293215
-7.68235,0.993538,0.899371,2,3,0,7.70569,0.293768
-7.69857,0.962797,0.899371,1,3,0,8.3881,0.381632
-7.66971,0.987164,0.899371,1,3,0,7.82671,0.368053
-7.83906,0.944445,0.899371,1,3,0,8.64153,0.422597
-7.93608,1,0.899371,1,1,0,8.01287,0.442589
-7.86492,1,0.899371,1,1,0,8.21514,0.428315
