# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = noname_model
# method = sample (Default)
#   sample
#     num_samples = 1200
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 2
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 3
# data
#   file = noname_3.data.R
# init = 2 (Default)
# random
#   seed = 215976435
# output
#   file = noname_samples_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.951074
# Diagonal elements of inverse mass matrix:
# 0.40513
-7.93444,0.995209,0.951074,2,3,0,7.98713,0.442281
-8.31792,0.872317,0.951074,1,1,0,8.31917,0.500019
-7.64547,0.991335,0.951074,1,3,0,7.91174,0.317026
-7.65712,0.996158,0.951074,2,3,0,7.67887,0.307208
-8.13686,0.93026,0.951074,2,3,0,8.15718,0.209054
-7.95364,0.993144,0.951074,2,3,0,8.00106,0.445848
-7.86853,1,0.951074,2,3,0,8.18304,0.429087
-7.71889,0.982454,0.951074,1,3,0,7.72838,0.389326
-7.80439,0.998704,0.951074,2,3,0,7.83254,0.258434
-7.66275,0.99491,0.951074,1,3,0,8.21028,0.303645
-7.64952,1,0.951074,2,3,0,7.7014,0.354036
-8.56197,0.900729,0.951074,2,3,0,8.66189,0.52812
-8.05056,0.99146,0.951074,1,1,0,8.14504,0.462422
-8.16047,0.878967,0.951074,1,3,0,8.77217,0.479029
-7.96558,0.987593,0.951074,2,7,0,9.23747,0.448014
-8.53206,0.809228,0.951074,1,3,0,8.68462,0.524904
-7.78374,0.917184,0.951074,1,3,0,9.0275,0.263
-7.80989,1,0.951074,2,3,0,7.91742,0.257272
-7.98744,1,0.951074,1,1,0,8.17992,0.227495
-7.83512,0.955559,0.951074,1,3,0,7.87724,0.252195
-7.94642,0.960278,0.951074,1,3,0,7.95234,0.233387
-8.34444,0.745445,0.951074,2,3,0,11.2769,0.188601
-7.63852,0.999044,0.951074,1,3,0,7.88054,0.336936
-10.7076,0.619171,0.951074,2,7,0,10.7551,0.0815276
-7.65089,0.986036,0.951074,1,3,0,8.03934,0.355266
-7.71813,0.927109,0.951074,1,3,0,8.09594,0.28056
-7.89038,0.981945,0.951074,2,7,0,7.89052,0.433642
-10.5342,0.596759,0.951074,2,3,0,10.5403,0.0859703
-9.72283,1,0.951074,2,3,0,10.3405,0.11142
-10.1652,1,0.951074,1,1,0,11.2838,0.0964838
-7.70753,1,0.951074,2,3,0,10.1425,0.284067
-10.356,0.787249,0.951074,2,7,0,16.2137,0.663601
-7.82972,0.951997,0.951074,1,3,0,7.89311,0.253247
-7.98339,0.943404,0.951074,1,1,0,7.98948,0.451172
-8.46321,0.825549,0.951074,1,3,0,8.67303,0.178693
-7.97172,0.933798,0.951074,1,1,0,7.97172,0.449112
-8.29666,0.79236,0.951074,1,3,0,9.35038,0.192912
-8.29944,0.920805,0.951074,1,1,0,8.34614,0.497693
-7.857,0.892851,0.951074,2,3,0,9.47443,0.426598
-7.74831,0.959348,0.951074,1,3,0,8.08711,0.271768
-7.70986,1,0.951074,1,1,0,7.73174,0.386039
-7.80354,0.819221,0.951074,2,3,0,10.5025,0.258615
-7.8436,0.99244,0.951074,1,1,0,7.87176,0.250571
-7.83931,0.983754,0.951074,1,1,0,7.85103,0.251388
-7.64659,0.987417,0.951074,2,3,0,7.74515,0.351143
-7.6534,0.996595,0.951074,1,3,0,8.09727,0.309881
-7.64931,0.994373,0.951074,1,3,0,7.72509,0.31324
-7.64893,0.966622,0.951074,2,3,0,7.85332,0.313574
-7.63832,0.996651,0.951074,2,3,0,7.6592,0.335711
-8.08134,0.895124,0.951074,1,3,0,8.20201,0.467274
-8.2536,0.847406,0.951074,1,3,0,8.49372,0.196982
-7.70404,0.995737,0.951074,1,1,0,7.71077,0.285283
-7.72337,0.95054,0.951074,2,3,0,7.97095,0.278919
-7.74156,0.962545,0.951074,2,7,0,7.94226,0.273609
-7.63942,0.899378,0.951074,2,3,0,8.65771,0.340161
-8.01787,1,0.951074,1,1,0,8.32394,0.45707
-7.67322,0.996498,0.951074,1,3,0,7.97975,0.297999
-7.64582,0.997751,0.951074,1,3,0,7.65194,0.316648
-7.65671,0.996829,0.951074,1,1,0,7.65678,0.359859
-7.79588,0.957586,0.951074,1,3,0,7.90685,0.412187
-8.61759,0.865039,0.951074,2,3,0,8.74189,0.167225
-7.87841,1,0.951074,1,1,0,8.14781,0.244285
-9.4271,0.665479,0.951074,1,3,0,9.63859,0.603974
-9.05311,0.893342,0.951074,1,1,0,9.059,0.140935
-7.64497,0.998836,0.951074,1,3,0,7.64516,0.349325
-7.65443,0.97086,0.951074,2,3,0,8.41157,0.358156
-9.11702,0.69466,0.951074,1,3,0,9.5869,0.137645
-7.87808,0.928132,0.951074,2,3,0,8.21004,0.431104
-7.73072,0.978535,0.951074,1,3,0,7.74716,0.393373
-7.64479,0.990347,0.951074,1,3,0,8.06258,0.317799
-8.6669,0.929959,0.951074,2,3,0,8.66973,0.538988
-7.76352,0.947224,0.951074,2,3,0,8.30746,0.403442
-8.23076,0.908648,0.951074,1,3,0,8.27457,0.199217
-8.55715,0.489428,0.951074,2,3,0,15.0061,0.527605
-7.64555,0.995132,0.951074,2,3,0,7.68676,0.349999
-7.63829,0.999826,0.951074,1,3,0,7.6447,0.331213
-7.66728,0.821134,0.951074,1,3,0,8.54325,0.301075
-7.72421,0.927326,0.951074,2,3,0,9.0828,0.391178
-7.63823,0.997261,0.951074,1,3,0,8.00496,0.331902
-7.90863,0.917572,0.951074,1,3,0,8.14578,0.239244
-8.5349,0.936139,0.951074,1,1,0,8.55735,0.17319
-7.6899,0.986431,0.951074,1,3,0,8.78091,0.290605
-7.794,1,0.951074,1,1,0,7.86792,0.411702
-7.87931,0.997713,0.951074,1,1,0,7.92627,0.244129
-7.87038,0.964982,0.951074,2,3,0,7.90472,0.245685
-7.67413,0.975435,0.951074,1,3,0,8.0805,0.297557
-7.63947,0.999866,0.951074,1,3,0,7.67006,0.326416
-7.88378,0.970677,0.951074,1,1,0,7.88627,0.243363
-7.64307,0.993739,0.951074,1,3,0,7.84855,0.319955
-7.63857,0.999995,0.951074,1,3,0,7.64055,0.329495
-8.20591,0.917037,0.951074,2,3,0,8.26125,0.201715
-7.66727,1,0.951074,2,3,0,8.58618,0.366665
-8.6218,0.932775,0.951074,2,3,0,8.64392,0.534392
-7.87366,1,0.951074,1,1,0,8.10029,0.430175
-8.07778,0.971553,0.951074,1,1,0,8.14535,0.466721
-7.71599,1,0.951074,1,3,0,8.99814,0.388292
-8.39157,0.723503,0.951074,1,3,0,9.64459,0.18454
-8.83852,1,0.951074,1,1,0,10.1026,0.55555
-7.70167,0.953672,0.951074,1,3,0,8.64533,0.286131
-7.64116,0.994692,0.951074,1,3,0,7.85038,0.343905
-8.30551,0.889025,0.951074,2,3,0,8.7763,0.498461
-9.81763,1,0.951074,1,1,0,10.4815,0.631011
-7.6921,0.972291,0.951074,2,3,0,8.02049,0.378925
-8.48419,1,0.951074,1,1,0,8.89313,0.177049
-9.38032,1,0.951074,1,1,0,9.74316,0.12525
-8.35519,0.886455,0.951074,1,1,0,8.37176,0.504613
-9.11459,0.926984,0.951074,1,1,0,9.38061,0.579644
-8.60264,0.926728,0.951074,1,1,0,8.73522,0.532407
-8.00456,0.853883,0.951074,2,3,0,9.70488,0.454826
-7.66851,1,0.951074,2,3,0,7.7221,0.367376
-8.37617,0.855801,0.951074,1,1,0,8.37619,0.507146
-7.66644,0.984556,0.951074,1,3,0,7.94274,0.366176
-7.80087,1,0.951074,1,1,0,7.83977,0.259189
-8.43687,0.913096,0.951074,1,1,0,8.43711,0.1808
-7.70433,0.97568,0.951074,1,3,0,9.39433,0.28518
-7.67511,0.999597,0.951074,2,3,0,7.68217,0.370952
-7.7876,0.981846,0.951074,1,1,0,7.78982,0.262121
-8.44953,0.680415,0.951074,1,1,0,9.53437,0.515724
-8.81158,0.96667,0.951074,2,3,0,8.95345,0.553039
-7.92201,0.94121,0.951074,1,3,0,7.94654,0.439912
-7.639,0.999582,0.951074,1,3,0,7.78496,0.338886
-7.87249,0.940109,0.951074,1,3,0,7.95882,0.245314
-7.70149,0.992769,0.951074,1,3,0,8.21896,0.286194
-7.7569,0.945018,0.951074,2,3,0,8.40205,0.401524
-8.36825,0.779682,0.951074,1,3,0,9.0326,0.186527
-7.9656,1,0.951074,2,3,0,8.17306,0.230576
-7.70874,0.949706,0.951074,1,3,0,8.72729,0.283653
-8.36224,1,0.951074,2,3,0,8.62274,0.505469
-9.41051,1,0.951074,1,1,0,9.91468,0.602749
-7.7755,0.930463,0.951074,1,3,0,8.58553,0.264924
-7.66676,1,0.951074,1,1,0,7.7122,0.366365
-7.64829,0.999334,0.951074,1,3,0,7.73745,0.314164
-9.86238,1,0.951074,1,1,0,11.6225,0.633909
-8.11481,1,0.951074,1,1,0,8.26057,0.472364
-7.68893,1,0.951074,2,3,0,7.70836,0.291
-8.36499,1,0.951074,1,1,0,8.84537,0.505802
-8.09304,0.835553,0.951074,2,3,0,9.33559,0.469074
-8.15153,0.884889,0.951074,1,3,0,8.28529,0.207442
-7.97696,1,0.951074,1,1,0,8.20334,0.228958
-8.41539,0.857684,0.951074,1,1,0,8.41809,0.511785
-8.34042,1,0.951074,1,1,0,9.39081,0.502808
-7.6669,0.98671,0.951074,1,3,0,7.87656,0.366449
-7.67173,0.969385,0.951074,1,3,0,8.61609,0.298747
-7.64745,1,0.951074,1,1,0,7.6589,0.352042
-7.96174,0.783926,0.951074,1,1,0,8.61106,0.447321
-8.34833,0.844955,0.951074,2,3,0,11.0818,0.503777
-9.51133,0.758009,0.951074,1,1,0,9.59041,0.610091
-7.7835,0.905716,0.951074,2,3,0,12.3776,0.408954
-7.81508,0.967364,0.951074,2,3,0,7.8852,0.416967
-7.74309,0.953714,0.951074,2,3,0,7.97424,0.273184
-7.69169,0.913425,0.951074,2,3,0,8.45589,0.37875
-7.93985,0.967517,0.951074,1,1,0,7.96525,0.443298
-8.06154,0.723866,0.951074,1,3,0,10.6068,0.21784
-8.50312,0.809249,0.951074,1,3,0,8.70391,0.521736
-8.18981,1,0.951074,2,3,0,8.65696,0.483161
-9.88408,0.88562,0.951074,2,3,0,9.91342,0.6353
-7.64935,1,0.951074,1,3,0,8.46044,0.353881
-7.65121,0.99651,0.951074,2,3,0,7.67838,0.35554
-7.71432,0.847242,0.951074,2,3,0,8.88554,0.281789
-7.65848,0.991942,0.951074,2,3,0,7.74045,0.361111
-7.77432,0.959509,0.951074,2,3,0,7.97696,0.40647
-8.01618,0.976672,0.951074,1,3,0,9.00042,0.223614
-7.93532,0.997588,0.951074,1,1,0,8.00943,0.442446
-8.39843,0.852428,0.951074,1,1,0,8.39853,0.509794
-7.72661,1,0.951074,1,3,0,8.86547,0.391997
-7.77229,1,0.951074,1,1,0,7.80531,0.265691
-7.81917,0.96248,0.951074,1,3,0,7.84583,0.255358
-7.66898,0.994018,0.951074,2,3,0,7.71046,0.300166
-7.85486,0.985235,0.951074,2,3,0,7.85601,0.42613
-7.93906,1,0.951074,2,3,0,8.18957,0.234492
-9.64532,1,0.951074,1,1,0,10.3577,0.114355
-7.90103,0.873542,0.951074,1,3,0,12.059,0.435795
-8.07931,0.810342,0.951074,1,3,0,9.59472,0.215684
-8.03499,0.852147,0.951074,2,7,0,8.82293,0.221171
-8.23336,0.902177,0.951074,2,3,0,8.42715,0.489093
-7.73776,0.946394,0.951074,2,3,0,8.00232,0.274672
-9.13119,0.547138,0.951074,2,3,0,10.883,0.136931
-9.95941,0.961436,0.951074,2,3,0,11.9846,0.103076
-8.74236,1,0.951074,2,3,0,9.77176,0.546441
-8.37376,1,0.951074,1,1,0,9.23699,0.506857
-8.43227,0.797083,0.951074,1,3,0,8.80152,0.181173
-7.9975,0.971009,0.951074,1,1,0,8.01337,0.226116
-7.95546,1,0.951074,1,1,0,8.07695,0.232049
-8.36645,0.916419,0.951074,1,1,0,8.36647,0.186683
-7.76381,0.993095,0.951074,1,3,0,8.14643,0.267765
